날짜,요일,공휴일,메모
2025-08-01,금요일,,
2025-08-02,토요일,,
2025-08-03,일요일,,
2025-08-04,월요일,,
2025-08-05,화요일,,
2025-08-06,수요일,,
2025-08-07,목요일,,
2025-08-08,금요일,,
2025-08-09,토요일,,
2025-08-10,일요일,,
2025-08-11,월요일,,
2025-08-12,화요일,,
2025-08-13,수요일,,
2025-08-14,목요일,,
2025-08-15,금요일,광복절,
2025-08-16,토요일,,
2025-08-17,일요일,,
2025-08-18,월요일,,
2025-08-19,화요일,,
2025-08-20,수요일,,
2025-08-21,목요일,,
2025-08-22,금요일,,
2025-08-23,토요일,,
2025-08-24,일요일,,
2025-08-25,월요일,,
2025-08-26,화요일,,
2025-08-27,수요일,,
2025-08-28,목요일,,
2025-08-29,금요일,,
2025-08-30,토요일,,
2025-08-31,일요일,,

=== 요약 ===
총 일수,31
주말 수,9
공휴일 수,1
평일 수,21
